District,Overall_Literacy (%),Fem_Literacy (%),SC_Enrol(%),ST_Enrol(%),OBC_Enrol (%),Muslim_Enrol (%),Girl_ Boy_Ratio,RTE_Score,SC_Tch (%),ST_Tch (%),Gender_ratio_Tch ,Med_Instr_Non_Eng(%),Med_Instr_Eng(%),Pvt_School (%),Schools_SCR_Grt_30,Schools_PTR_Grt_30,Not_In_School(%),3to5_Can_read_1text(%),3to5_Can_Subtract (%)
BAGALKOT,69.4,58.6,19.6,5.3,69.6,12.4,0.93,8.53,11.4,4.9,0.803777949,95.7,4.2,18.7,30,20.6,1,59.1,48.1
BANGALORE RURAL,78.3,70.7,24.4,7,61,11.5,0.94,8.54,12.4,5.4,1.455070074,71.8,27.2,29.4,7.7,3.6,0.2,60.6,52.4
BELGAUM,73.9,64.7,10.2,8.8,40.4,12.9,0.94,8.51,9,3.2,1.191677447,81.9,12.7,27.9,20.4,12.4,1.6,51.5,31.7
BELLARY,67.9,58.3,24.2,20.8,44.6,11.6,0.94,7.94,12.8,7.6,1.095376775,88.8,11,23.9,29.9,19.9,5.2,60.2,28.7
BIDAR,71,61.7,25.7,13.9,41.9,21.7,0.94,8.42,15.7,5.4,1.002780352,95,5,33.6,24.2,20.8,1.5,46.5,45.5
BIJAPUR,67.2,56.5,20.5,1.6,74.9,16.7,0.9,8.15,15.7,3.2,0.760599572,97.8,2.1,22.5,28,21.2,4.7,64.1,34.8
CHAMRAJNAGAR,61.1,54.3,25.9,14,57,6.7,0.94,8.19,32.5,6.2,1.148360229,89.9,8.7,21,12.6,9.4,0.2,55.3,43.7
CHIKMAGALUR,79.2,72.9,24.8,5.3,64.2,9.2,0.95,8.5,11.3,4.4,1.168761785,87.2,11.3,20.7,4.2,2.3,1.1,60.5,46.8
CHITRADURGA,73.8,66.1,25.9,19.8,49.9,8.3,0.94,8.79,16.7,10.3,1.045207101,94.1,5.8,13.5,15,5.8,2.8,49.7,34.8
DAKSHIN KANNAD,88.6,84,7.5,4,82.6,33.7,0.93,8.88,7.2,4.3,4.080992815,78.9,21.1,38.5,19,14.3,0.3,70.3,55.4
DAVANGERE,76.3,69.4,23.2,12.9,53.7,16.1,0.94,8.71,11.9,8.4,1.134782609,81.9,11.1,29.4,14.7,7.6,3.1,50.5,34.9
DHARWAD,80.3,73.6,11.3,5.6,58.7,24.2,0.97,8.45,25.7,3.9,1.884323204,82.3,16.5,22.3,24.4,13.6,1,52.8,34.2
GADAG,75.2,65.3,18.9,6.2,68.3,13.8,0.95,8.8,12.5,6.3,0.928991906,90.4,8.9,18.1,21.9,13,2.5,46,27.3
GULBARGA,65.7,55.9,27.2,2.2,63,18.7,0.91,8.14,15.4,3.3,1.329417221,92.7,6.6,14.2,25.2,18.1,3,57.5,26.1
HASSAN,75.9,68.3,22.9,2.5,70,8.7,0.96,8.35,12.5,3.2,1.237540755,84,15.8,28.7,3.8,2.7,0.7,79.6,59.9
HAVERI,77.6,70.7,15.3,9.3,70.6,20.7,0.95,8.72,11.2,8,0.915462941,95.4,4.6,17,19.7,8.2,0.9,49.5,31
KODAGU,82.5,77.9,14.2,16,62.2,20.1,0.98,8.98,8.8,2.1,4.202268431,73.7,25.6,42.8,11.4,7.3,0.7,58.3,38.1
KOLAR,74.3,66.6,31.6,5.9,54.7,17.2,0.95,8.89,21.5,4,1.594008559,79.2,18.9,28.6,7.2,3.3,0.7,45.1,37.7
KOPPAL,67.3,56.2,18.8,11.9,64.4,9.6,0.95,8.25,11.2,6.4,0.820396465,94.2,4.8,13.1,34.3,17.3,2.1,47.9,24.3
MANDYA,70.1,62.1,15.2,2,80.4,6.2,0.93,8.65,18.7,4.6,1.249511582,87.4,12.5,34.4,5.5,3.9,0,55.2,50.6
MYSORE,72.6,66.6,18.2,12.6,60,11.7,0.95,8.6,12.4,6,1.818331278,78.6,20.5,27.1,14.8,5.9,2.1,53.2,31
RAICHUR,60.5,49.6,21.9,19.9,50.2,14,0.91,7.97,17.2,6.5,1.021103295,95.1,4.3,19.8,33.2,16.6,3,42.6,31.1
SHIMOGA,80.5,74.9,19.6,4.5,64.3,7.9,0.95,8.69,12.3,5.6,1.438389262,85.2,14.2,19.4,8.2,5.2,0.2,69.7,53.3
TUMKUR,74.3,66.5,17.2,5.6,70,15.1,0.93,8.32,12.8,5.6,1.659173755,80.9,19.1,24.6,5,2.8,0.5,61.4,52.8
UDUPI,86.3,81.4,7.2,5,78.9,11.1,0.94,8.59,7.9,3.6,2.206192822,70.4,29.6,57,11.2,9.2,0.2,79.3,82.7
UTTAR KANNAD,84,78.2,7.1,1.7,79.5,14.3,0.95,8.75,5.9,1,2.322478157,81.1,17.6,19.1,4.2,3,1.7,71.3,58.2
